car,parking_pass,Fine_amount,date
183,79,152.72,3/24/2012
855,635,252.76,6/25/2011
766,194,115.3,7/9/2011
391,4,43.83,7/5/2015
964,418,29.14,7/3/2017
809,209,43.6,1/14/2015
660,309,62.2,10/5/2014
527,788,366.74,7/4/2010
628,288,300.34,5/13/2012
625,682,159.88,2/3/2011
911,898,401.88,4/21/2016
950,689,39.78,5/8/2012
568,840,215.96,6/23/2012
272,500,403.71,5/31/2014
18,278,32.15,12/10/2016
492,586,89.85,9/13/2012
309,588,41.44,4/6/2016
906,453,42.07,1/5/2017
341,153,73.7,11/20/2012
169,173,87.93,3/6/2014
27,440,23.04,7/17/2016
704,236,25.53,11/27/2010
717,733,68.23,7/18/2010
406,864,66.71,1/9/2016
639,789,87.61,8/5/2012
709,416,2.12,4/17/2016
228,883,252.61,11/3/2016
357,609,44.37,1/10/2013
225,410,159.23,4/18/2011
405,476,8.91,6/23/2011
552,668,70.33,10/8/2014
553,49,79.03,1/30/2011
545,686,259.79,11/21/2015
192,900,344.29,9/19/2015
395,412,35.37,10/22/2014
521,2,87.26,7/31/2010
254,606,66.98,1/10/2014
776,405,117.49,10/23/2012
457,368,353.52,12/26/2010
861,746,70.4,7/12/2010
375,154,16.29,9/26/2011
648,199,54,12/3/2012
337,327,98.4,7/3/2012
25,263,234.53,2/18/2011
760,35,248.93,7/19/2017
528,604,445.25,1/24/2016
574,789,247.58,11/1/2015
541,576,12.58,12/15/2012
348,18,56.05,6/11/2016
102,888,59.32,1/17/2018
96,536,106.01,6/16/2010
46,687,237.12,11/27/2011
856,231,275.16,1/9/2012
676,38,2.43,3/3/2010
119,427,405.64,9/3/2014
464,36,312.78,7/27/2013
270,373,87.72,2/28/2018
551,835,242.58,12/10/2016
58,31,282.83,9/15/2014
980,370,15.73,4/6/2012
867,449,16.23,5/15/2016
309,240,124.18,6/15/2013
233,105,350.32,6/28/2013
709,633,49.82,12/21/2017
1,216,66.77,11/13/2016
697,456,257.19,12/15/2015
722,626,20.01,9/14/2011
284,724,204.53,3/2/2013
863,870,74.82,1/27/2017
31,374,261.71,11/5/2017
732,49,114.13,7/26/2014
489,338,118.98,5/10/2013
273,8,38.11,6/18/2011
985,952,107.72,5/22/2014
746,420,185.37,3/11/2017
676,516,309.87,9/22/2011
363,950,237.92,4/16/2013
988,151,192.67,12/21/2010
677,85,134.22,5/28/2012
802,540,19.08,8/31/2012
452,242,171.46,1/22/2016
332,212,141.65,7/3/2011
974,650,110.94,4/19/2015
818,40,38.49,1/7/2012
551,845,248.72,4/15/2014
788,932,232.81,10/16/2016
16,663,29.36,3/4/2012
360,611,19.18,4/12/2016
980,753,57.95,7/1/2011
603,382,143.98,3/12/2012
977,493,17.27,4/1/2017
803,503,202.51,8/18/2015
444,2,107.77,4/29/2010
894,964,236.48,8/6/2011
543,122,95.92,6/29/2011
233,581,332.94,10/18/2011
211,574,115.56,11/30/2014
173,897,131.41,5/2/2011
783,741,374.71,8/7/2014
81,217,40.05,1/13/2018
302,377,157.45,9/30/2012
743,728,19.96,9/6/2010
111,570,69.45,6/18/2011
442,502,60.02,8/26/2015
774,981,75.55,9/5/2011
913,79,129.2,2/25/2011
64,151,138.31,10/16/2010
145,810,119.15,2/11/2010
259,166,119.48,10/4/2017
623,799,55.4,9/6/2013
255,632,28.21,5/1/2014
653,89,160.56,8/26/2011
299,662,4.25,1/24/2013
959,144,125.87,1/1/2017
880,291,49.41,2/21/2012
389,881,196.83,5/17/2011
261,64,157.32,6/29/2016
597,892,250.53,10/20/2010
992,638,28.64,9/20/2016
559,268,37.16,6/7/2010
792,504,1.34,10/21/2017
327,899,22.72,9/9/2013
731,182,96.16,11/2/2016
608,87,20.57,5/7/2010
52,336,179,6/7/2017
999,562,89.47,9/25/2010
983,925,336.02,6/9/2014
26,714,36.28,3/21/2013
133,969,93.92,3/6/2017
240,820,9.25,4/20/2011
863,688,65.31,5/18/2016
606,349,90.08,12/9/2010
83,673,80.79,6/21/2014
603,231,105.92,1/31/2012
291,825,178.04,9/21/2011
487,633,120.71,2/8/2013
340,541,50.83,4/24/2011
541,952,37.59,4/8/2010
954,798,5.37,6/20/2014
252,618,392.55,11/30/2012
119,125,131.97,12/16/2012
568,99,39.66,6/7/2013
506,275,276.87,1/4/2018
672,975,23.43,9/16/2013
877,806,13.23,10/2/2012
228,664,376.56,8/28/2017
856,686,3.24,7/3/2011
365,720,29.09,5/29/2013
491,751,64.58,5/20/2015
567,621,214.31,8/22/2017
760,841,12.2,7/1/2010
865,708,79.11,3/29/2014
422,300,352.89,2/16/2013
215,144,112.37,3/23/2014
197,154,93.41,6/17/2015
712,573,112.05,5/31/2010
598,920,200.99,9/8/2015
606,833,317.31,1/12/2012
262,741,138.67,1/15/2018
104,99,84.11,6/29/2013
416,140,48.54,3/3/2013
230,600,181.26,7/28/2013
609,633,212.93,8/4/2015
681,663,374.09,5/6/2014
782,709,127.65,1/31/2012
438,406,347.83,11/4/2013
433,263,285.58,2/22/2014
215,562,262.71,12/10/2012
346,757,282.62,7/4/2012
563,136,58.96,6/3/2011
791,86,52.74,9/13/2015
911,138,88.35,5/31/2017
946,992,116.06,9/10/2017
568,427,374.15,5/1/2017
450,175,51.67,1/29/2018
163,971,260.06,12/18/2015
15,493,9.31,6/11/2012
925,879,9.32,4/27/2016
183,79,389.4,10/18/2016
729,444,48.44,3/30/2010
673,307,393.44,1/31/2017
843,674,398.32,12/19/2013
506,921,186.03,9/8/2013
484,225,216.13,1/13/2014
433,938,65.72,10/1/2011
577,461,41.68,8/24/2011
510,907,87.43,7/4/2016
169,921,214.74,8/27/2017
119,306,124.67,3/12/2011
869,588,161.5,3/26/2013
340,910,31.26,3/26/2016
966,854,2.26,1/3/2017
62,800,24.69,3/9/2017
128,302,356.6,2/11/2017
983,194,175.54,4/23/2017
112,241,58.57,6/6/2013
812,783,193.67,4/29/2017
563,906,257.32,2/22/2010
767,380,20.5,3/16/2011
960,593,34.14,5/20/2010
809,197,106.94,8/3/2011
342,979,2.74,5/5/2010
68,674,392.96,4/10/2012
980,91,203.49,7/13/2013
810,6,420.95,2/4/2017
217,740,61.37,5/6/2017
836,150,97.49,10/9/2016
401,836,59.61,12/31/2010
531,197,150.26,3/19/2017
175,985,19.12,11/3/2013
251,282,143.81,8/20/2010
509,75,289.29,4/29/2013
719,512,61.29,7/13/2014
756,853,39.55,8/11/2017
420,744,52.69,9/7/2013
209,144,150.98,11/7/2015
970,848,115.74,11/5/2017
586,757,61.06,1/14/2010
710,525,35.42,5/15/2011
740,960,335.03,8/24/2014
762,809,40.08,1/11/2014
484,92,376.94,8/20/2014
70,984,200.05,6/5/2014
652,855,144.05,7/20/2015
134,979,164.1,12/11/2011
635,800,364.11,8/14/2011
227,162,483.74,1/23/2016
769,101,11.57,11/7/2013
204,564,161.3,12/9/2012
959,341,71.51,6/20/2010
83,25,383.5,3/23/2016
818,966,240.9,12/23/2014
263,309,51.09,7/28/2017
103,915,364.72,11/16/2014
9,894,237.96,9/26/2013
414,658,258.92,8/21/2010
689,517,263.84,6/12/2014
824,710,48.24,3/8/2016
340,851,73.14,1/21/2013
959,193,13.32,9/11/2013
872,501,15.78,3/17/2017
111,626,54.72,3/7/2011
443,765,128.29,12/12/2016
276,158,105.04,7/21/2014
388,811,111.65,6/25/2013
808,453,327.53,8/5/2016
420,333,189.71,1/29/2017
670,632,154.25,8/4/2014
296,74,101.42,9/9/2015
733,42,82.28,4/18/2012
167,267,3.8,10/30/2013
353,298,33.2,12/2/2011
673,554,387.12,7/11/2012
867,755,1.93,10/6/2017
921,220,69.19,10/4/2014
952,227,65.73,5/4/2017
200,538,123.8,2/29/2016
912,844,3.9,2/19/2012
368,959,115.33,12/11/2011
757,91,231.32,10/13/2014
916,607,94.45,7/26/2010
510,365,6.23,2/10/2012
739,896,58.79,4/11/2017
278,720,91.36,9/9/2015
635,254,154.64,1/6/2013
29,820,239.91,11/14/2012
668,118,167.1,8/31/2011
289,745,87.82,9/28/2015
724,409,153.29,3/19/2017
463,973,192.26,9/2/2013
594,984,27.37,3/14/2013
664,377,378.33,6/10/2017
346,681,25.27,4/29/2016
396,217,256.58,12/9/2014
789,860,19.95,11/28/2013
211,415,97.39,1/4/2018
892,726,104.99,9/1/2011
75,8,96,8/25/2016
282,449,79.26,7/23/2015
3,387,412.7,7/29/2010
989,713,241.88,1/20/2017
295,178,121.68,12/24/2017
479,941,21.79,7/31/2015
849,682,7.29,11/7/2010
89,466,335.86,12/26/2016
162,815,50.97,6/15/2010
942,227,36.8,2/13/2016
337,352,2.68,4/28/2015
497,193,37.21,10/25/2014
426,402,8.72,2/18/2013
640,1,31.24,6/7/2012
705,525,330.15,7/5/2013
841,107,176.2,10/31/2012
284,79,24.61,5/13/2015
983,265,195.62,12/28/2012
211,607,13.66,5/3/2010
923,331,131.55,2/28/2015
939,444,196.25,11/8/2015
618,898,42.8,3/26/2015
890,642,41.29,9/19/2015
560,738,1.56,5/9/2011
524,266,194.75,10/27/2017
440,183,211.19,6/15/2017
644,29,59.36,8/28/2012
108,186,287.77,3/16/2015
420,366,97.54,7/30/2013
763,113,74.92,8/4/2015
127,855,88.54,4/8/2017
513,996,235.87,12/21/2011
831,278,13.48,3/21/2015
942,338,46.81,1/13/2016
624,667,34.65,6/11/2014
396,358,192.62,1/27/2011
705,70,58.35,7/25/2013
544,531,42.3,11/14/2011
722,145,40.45,5/27/2012
5,34,33.72,3/12/2017
330,744,1.24,4/19/2013
394,801,24.98,3/21/2011
628,198,9.54,4/22/2012
466,908,73.04,5/25/2013
905,441,111.19,2/7/2017
847,703,393.09,12/26/2015
463,712,235.17,12/30/2017
608,102,32.13,5/13/2010
180,1,187.32,12/24/2010
180,820,18.29,8/17/2015
610,818,248.11,12/27/2015
292,760,22.38,5/3/2011
507,959,12.54,3/30/2012
565,650,77.15,9/11/2010
504,673,24.67,11/21/2012
163,733,73.65,12/23/2012
849,792,3.59,5/16/2013
351,496,292.33,5/3/2015
329,888,443.67,8/12/2016
696,396,198.16,6/25/2013
761,147,1.3,6/7/2010
549,379,139.96,9/26/2016
729,10,90.47,6/27/2012
218,633,47.47,3/28/2014
333,9,119.94,2/26/2013
90,379,179.8,1/22/2013
590,804,61.41,11/3/2017
928,824,189.78,7/24/2013
381,611,40.46,1/27/2014
787,597,147.81,6/29/2017
885,865,85.13,10/7/2013
90,725,127.54,10/5/2012
752,535,86.69,2/26/2015
49,821,20.97,2/20/2012
879,191,299.06,4/3/2010
203,56,24.32,6/30/2010
349,99,178.01,8/17/2014
319,680,14.74,7/4/2014
569,343,27.23,6/22/2017
253,679,57.98,1/12/2012
769,161,46.99,1/3/2011
769,90,121.7,11/12/2012
861,464,71.51,7/2/2014
106,660,13.62,2/7/2014
93,959,80.01,1/12/2014
516,930,322.12,3/7/2016
640,636,293.32,6/6/2017
156,244,68.85,12/27/2011
460,782,86.64,5/18/2013
641,720,400.19,5/2/2013
488,788,7.56,1/18/2010
753,198,129.23,2/25/2010
371,231,38.3,3/4/2010
736,876,177.2,4/16/2010
331,841,63.95,4/6/2015
819,364,49.42,5/14/2017
586,530,123.3,11/5/2014
747,479,82.28,1/24/2011
60,592,24.93,10/14/2012
802,601,183.39,6/12/2015
226,15,41.94,7/31/2015
380,482,47.37,11/27/2010
382,379,89.22,11/8/2015
1000,909,252.38,3/6/2012
348,16,324.55,9/21/2014
46,899,100.75,11/9/2014
694,517,163.21,2/20/2010
745,178,93.95,2/24/2015
915,781,326.11,2/17/2014
625,507,15.63,2/28/2017
869,469,201.21,8/21/2011
353,327,13.72,4/18/2015
145,991,42.31,8/23/2011
661,53,208.31,9/23/2016
644,627,177.66,8/20/2017
203,198,349.51,5/5/2012
188,821,212.89,2/22/2014
396,693,12.78,8/19/2011
435,373,38.67,10/1/2012
10,746,251.58,7/3/2016
546,113,427.57,9/15/2014
937,464,236.43,3/17/2015
757,26,42.38,10/1/2011
583,78,42.88,8/10/2012
625,142,260.27,1/18/2017
350,258,47.84,4/10/2011
341,557,66,11/11/2011
710,511,16.28,2/11/2017
205,954,371.46,4/4/2017
920,675,65.89,3/26/2014
917,840,177.05,5/9/2017
969,902,199.74,7/20/2015
884,31,94.83,8/13/2017
550,919,13.28,4/29/2016
369,996,62.46,10/29/2015
833,87,41.85,7/25/2012
289,975,183.17,5/26/2016
102,867,142.45,11/14/2010
326,456,42.57,12/3/2010
115,611,195.38,7/1/2015
762,584,57.41,9/2/2010
601,767,194.89,8/9/2010
883,270,303.27,2/3/2013
687,924,225.4,12/23/2014
547,806,86.83,11/4/2011
878,751,140.48,8/17/2014
327,628,193.61,3/19/2010
797,895,106.62,12/31/2014
512,208,100.22,9/18/2017
647,162,17.89,12/23/2010
821,167,22.05,8/18/2017
630,340,33.01,12/27/2015
161,130,23.37,7/24/2014
262,205,21.59,12/1/2015
548,633,148.19,5/12/2017
318,374,90.69,3/8/2017
748,441,68.61,3/29/2012
604,568,34.3,11/3/2015
838,943,73.08,2/12/2013
852,735,66.05,1/15/2011
250,526,3.28,6/30/2011
293,999,181.05,11/21/2010
12,822,20.28,10/13/2016
155,268,32.29,6/28/2010
886,998,33.36,9/28/2017
219,525,0.15,6/4/2010
280,206,145.99,4/16/2017
65,944,36.59,2/14/2013
133,911,238.16,7/10/2016
94,351,78.44,7/24/2013
211,903,8.15,1/12/2017
75,949,286.46,5/5/2016
281,139,7.67,5/17/2010
321,312,6.73,3/29/2017
819,725,25.53,8/12/2012
500,717,336.94,4/13/2014
223,300,244.95,5/19/2014
203,220,79.39,2/15/2011
659,391,219.68,2/6/2014
856,78,39.48,12/16/2013
588,40,26.62,1/24/2015
492,521,7.22,2/4/2017
221,746,197.94,5/31/2011
305,778,26,3/10/2011
519,499,54.91,10/13/2011
960,104,56.44,12/18/2010
309,72,63.2,8/17/2013
253,736,13.14,5/23/2010
54,44,107.94,7/27/2014
329,217,251.82,11/3/2016
405,206,158.22,10/5/2011
110,643,21.32,11/29/2016
957,667,25.43,7/24/2012
841,19,132.98,6/2/2017
708,164,400.42,9/12/2011
706,157,54.49,1/7/2014
695,254,36.61,3/6/2014
856,785,134.27,1/31/2013
649,627,7.95,4/3/2013
634,945,69.24,2/9/2017
119,214,9.94,7/7/2016
996,318,19.69,7/7/2011
28,482,320.73,11/11/2010
977,266,89.94,8/2/2016
58,642,183.04,6/12/2017
532,524,161.66,5/14/2016
991,418,130.51,5/7/2010
36,542,331.48,4/1/2017
800,448,389.91,8/23/2014
619,708,127.29,12/21/2015
876,342,144.31,7/15/2013
803,445,59.73,8/25/2010
954,28,118.94,7/26/2011
136,916,143.89,9/4/2017
664,727,46.6,5/3/2015
465,676,11.39,11/8/2010
509,47,49.48,8/26/2015
168,725,76.62,11/6/2016
67,97,2.17,8/23/2016
70,109,129.94,1/6/2010
352,153,142,3/28/2010
538,776,29.87,6/22/2014
825,220,93.29,1/8/2011
619,554,23.19,10/22/2017
256,831,198.21,11/25/2016
798,349,26.66,10/12/2010
505,622,153.29,4/1/2012
88,2,29.69,3/2/2010
189,641,143.65,4/5/2012
138,452,30.5,9/8/2010
157,870,29.59,8/20/2016
257,59,61.3,9/28/2013
452,608,202.04,12/19/2017
388,157,79.54,9/21/2013
132,144,173.32,7/14/2013
315,986,317.1,10/26/2015
283,325,50.36,2/27/2010
249,958,150.12,12/4/2014
361,718,422.44,8/15/2013
706,299,107.97,4/14/2013
270,347,45.52,1/15/2011
354,935,197.64,12/29/2017
525,363,62.31,6/12/2016
211,593,113.89,9/14/2015
453,846,129.51,8/12/2011
744,16,7.6,10/21/2017
384,55,176.17,6/2/2017
799,253,94.29,10/5/2016
834,900,91.79,1/14/2014
631,706,33.56,12/12/2014
202,560,105.69,3/25/2013
932,898,48.7,7/9/2015
69,213,400.02,3/4/2016
541,293,41.54,6/21/2017
678,76,7.43,4/3/2011
819,596,10.03,1/9/2010
137,627,235.21,7/29/2015
497,892,168.02,2/15/2014
163,383,249.37,6/9/2011
72,505,314.88,12/3/2013
823,933,174.4,12/20/2012
919,857,178.57,6/30/2011
444,231,138.35,5/18/2012
428,289,245.56,5/17/2014
813,38,275.06,5/25/2012
116,567,9.47,11/25/2015
904,601,74.08,9/10/2012
202,559,68.79,12/21/2017
843,775,100.42,9/13/2013
556,933,399.83,3/31/2017
755,555,149.7,11/8/2011
286,819,246.28,11/14/2016
172,399,174.1,1/18/2015
579,593,381.88,9/13/2011
848,843,304.25,10/6/2017
27,614,22.14,10/15/2012
847,567,302.72,2/15/2015
325,221,10.77,11/14/2015
833,106,389.21,7/3/2014
94,886,235.69,1/22/2017
50,930,144.37,10/6/2017
660,508,228.9,2/27/2011
828,101,393,3/21/2013
432,11,64.14,4/28/2015
832,262,29.97,7/24/2014
382,461,39.34,12/25/2015
886,562,9.77,4/25/2017
698,991,1.05,2/20/2016
675,9,134.83,4/4/2017
420,723,145.4,11/16/2015
293,136,141.6,8/22/2010
983,972,20.44,10/29/2015
142,431,226.9,11/11/2013
92,353,3.86,4/23/2011
159,845,14.54,7/26/2016
382,185,9.19,4/29/2010
339,465,159,3/18/2010
269,877,23.22,9/27/2010
367,40,132.06,1/3/2013
780,358,38.32,5/26/2012
622,126,182.5,11/18/2015
481,292,98.01,12/27/2013
493,702,164.99,6/18/2013
200,322,69.64,6/17/2016
152,502,180.36,12/1/2015
42,521,247.62,8/18/2011
518,529,158.54,10/28/2012
524,359,1.01,5/31/2012
107,123,9.95,2/9/2011
431,807,80.14,10/31/2017
21,272,88.97,8/26/2016
55,264,124.92,3/6/2013
374,819,28.07,2/4/2018
771,927,173.16,8/21/2017
760,813,36.08,5/13/2016
428,530,44.75,11/15/2016
555,975,104.26,9/3/2011
566,495,42.91,10/6/2013
350,622,268.9,11/3/2016
355,84,16.22,11/11/2015
855,804,307.28,9/24/2015
532,510,6.96,4/28/2016
713,612,9.6,9/15/2012
170,774,115.23,8/8/2014
813,148,51.01,2/25/2016
292,862,73.08,5/17/2010
234,169,398.12,11/1/2012
657,299,114.69,9/12/2017
692,593,168.13,7/21/2014
825,569,80.33,4/28/2014
352,430,137.45,2/16/2011
995,11,374.74,4/7/2016
840,816,35.44,2/1/2012
603,449,62.63,9/19/2013
148,695,284.4,10/16/2017
621,998,64.16,5/14/2015
939,803,43,12/30/2014
375,888,10.75,6/21/2012
33,686,46.46,12/21/2012
396,520,155.32,2/16/2014
291,679,165.36,12/6/2017
324,830,386.28,6/13/2014
568,549,294.2,9/15/2012
451,37,83.65,10/2/2017
351,758,61.63,12/31/2011
851,835,95.5,11/2/2015
375,887,262.88,6/3/2017
230,20,92.12,7/17/2014
995,222,42.9,11/4/2015
380,651,370.52,7/20/2016
990,999,42.46,12/2/2016
549,435,275.13,11/4/2014
684,214,80.47,12/24/2014
4,177,148.11,4/17/2014
648,31,59.52,6/27/2013
723,124,88.06,6/25/2010
244,806,213.55,6/25/2017
88,553,192.99,12/17/2017
528,524,261.44,5/10/2013
918,640,296.25,5/18/2013
142,446,120.54,12/21/2010
521,725,171.83,5/21/2016
499,990,175.23,6/1/2017
101,516,9.36,9/27/2013
45,305,58.84,3/27/2016
795,63,88.61,11/22/2011
284,817,3.45,1/9/2018
918,932,49.18,5/14/2013
241,612,179.08,3/1/2011
719,484,4.07,8/19/2015
761,746,44.16,7/21/2010
977,301,149.27,5/2/2014
401,214,127.38,11/11/2014
166,721,2.74,10/22/2017
127,856,25.04,6/11/2010
951,70,178.73,9/13/2011
274,804,187.16,11/6/2013
775,784,156.23,12/29/2011
642,629,214.34,2/8/2015
779,404,86.65,5/26/2015
147,554,40.17,5/6/2011
545,706,0.01,4/10/2011
932,962,170.43,6/20/2016
971,45,5.13,11/20/2016
230,749,212.31,4/17/2014
19,980,196.87,7/27/2012
648,926,417.41,5/25/2016
960,91,175.14,12/11/2011
314,813,176.52,3/18/2017
175,14,6.03,8/30/2011
848,287,29.7,12/9/2015
160,271,75.45,2/15/2012
587,792,74.4,2/2/2012
405,362,14.68,1/26/2015
908,768,19.64,11/8/2010
335,404,79.85,8/26/2016
421,482,107.77,8/8/2011
940,245,88.33,1/21/2018
853,655,103.64,7/23/2017
430,608,60.06,4/11/2011
847,139,138.67,9/6/2010
311,541,155.19,2/8/2010
900,857,96.5,2/23/2016
746,888,22.7,10/31/2016
641,370,46.11,6/24/2012
82,994,100.28,7/22/2012
940,10,124.79,8/3/2016
900,601,186.74,2/1/2016
446,228,13.79,5/31/2015
747,896,5.46,4/14/2016
296,700,1.46,3/25/2015
791,508,243.45,3/7/2011
643,299,75.78,8/14/2013
444,546,14.02,12/4/2010
379,622,274.92,8/25/2012
107,138,399.23,2/13/2010
696,925,6.01,4/9/2013
738,917,200.1,8/20/2012
116,640,66.07,6/23/2017
134,553,135.86,9/26/2012
502,969,76.03,1/22/2015
615,336,462.87,1/29/2010
433,680,221.16,7/15/2010
456,139,71.46,5/2/2017
121,530,7.56,8/8/2011
433,454,13.35,2/4/2017
324,354,51.36,12/26/2015
318,938,33.12,3/1/2010
387,377,227,4/28/2014
695,447,75.64,11/15/2013
780,817,31.49,8/16/2013
712,164,218.4,11/23/2014
854,967,180.75,7/30/2017
611,284,114.8,4/23/2015
134,680,55.38,10/27/2015
525,180,65.49,3/31/2017
403,38,8.59,4/1/2014
409,264,40.82,6/29/2014
465,881,266.78,9/10/2015
560,217,73.41,7/10/2014
672,186,225.09,5/17/2015
834,3,48.1,3/12/2015
966,390,176.17,2/15/2017
446,464,140.77,2/18/2012
615,822,10.58,11/3/2012
837,667,190.22,6/8/2016
860,22,181.99,9/27/2016
178,165,352.3,7/18/2011
215,851,94.59,4/4/2011
252,92,285.58,6/11/2010
847,131,0.08,1/31/2018
893,348,140.74,5/14/2014
405,447,116.31,1/11/2011
328,513,72.1,12/14/2013
152,266,121.97,5/20/2013
200,430,120.49,5/28/2010
462,868,241.43,9/9/2015
526,690,204.87,3/8/2011
823,17,115.43,8/14/2010
395,249,97.21,12/16/2015
269,30,260.05,11/28/2015
667,229,280.89,5/13/2010
205,186,14.59,5/7/2017
265,250,24.97,1/17/2013
132,46,141.5,6/22/2016
216,853,54.86,8/17/2017
101,34,253.09,2/8/2015
