car,Fine_amount,date
183,99.46,7/5/2015
216,1.83,4/4/2013
564,99,5/23/2010
633,17.89,7/12/2015
729,14.74,12/21/2015
230,58.62,1/16/2011
732,156.52,1/21/2018
338,314.19,8/22/2011
795,172.27,11/20/2014
890,142.08,11/19/2013
92,320.84,4/6/2010
559,12.42,2/19/2011
405,281.67,9/9/2015
672,172.77,10/6/2016
299,32.01,7/22/2015
976,38.03,3/8/2013
581,87.1,1/18/2018
193,10.22,10/4/2010
91,164.55,10/12/2010
551,25.57,10/18/2011
948,438.38,1/11/2011
546,188.3,7/4/2014
530,30.98,9/6/2013
680,101.63,1/3/2014
807,67.72,10/6/2015
424,167.88,11/21/2014
414,122.21,12/17/2010
954,197.27,3/11/2016
628,70.51,10/25/2014
812,361.7,6/24/2010
449,8.72,11/3/2012
680,43.14,8/20/2017
516,86.36,11/25/2013
751,210.22,7/16/2012
204,267.41,11/2/2012
672,249.24,3/25/2017
457,207.43,2/4/2010
796,332.04,7/31/2016
832,46.74,3/19/2015
566,68.48,1/30/2011
272,26.99,2/14/2013
618,65.22,10/7/2010
623,64.41,7/16/2016
716,373.73,12/23/2010
747,190.36,9/6/2011
939,143.55,7/31/2014
71,15.83,2/8/2016
770,9.35,5/15/2011
32,5.46,1/4/2012
132,137.65,8/12/2010
950,70.75,12/30/2016
747,18.7,3/27/2011
344,37.08,12/19/2012
305,282.47,3/14/2012
178,59.56,11/30/2011
68,64.45,10/6/2013
135,18.93,1/25/2011
243,320.57,3/14/2010
529,278,9/18/2013
6,37.09,1/4/2017
367,68.52,11/30/2011
742,49.21,6/17/2013
486,131.82,12/3/2015
728,87.62,6/11/2017
898,110.85,12/30/2010
572,203.47,11/20/2012
834,65.34,4/30/2017
866,306.96,5/24/2014
358,51.6,12/1/2011
593,19.08,7/30/2013
615,91.35,3/24/2013
6,53.75,4/21/2013
347,18.15,11/29/2016
807,148.68,7/16/2014
36,5.88,1/12/2017
855,9.33,7/18/2011
727,36.58,3/11/2014
345,66.39,3/6/2012
762,260.95,7/20/2011
614,25.91,8/3/2014
108,36.04,6/22/2015
233,12.34,12/26/2016
254,19.62,7/26/2015
728,242.39,8/29/2017
67,81.17,8/4/2010
917,239.23,6/19/2017
994,269.98,10/4/2014
231,87.35,4/29/2013
17,430.33,6/24/2011
889,72.83,3/19/2015
739,67.74,3/10/2010
481,388.7,2/6/2010
611,38.46,9/4/2010
226,251.43,8/8/2012
501,9.32,2/18/2016
516,248.19,4/7/2016
578,22.5,9/10/2011
987,138.04,2/9/2012
125,94.41,8/28/2014
185,1.57,11/18/2017
873,112.63,7/28/2011
444,3.6,4/12/2011
649,115.68,9/13/2014
951,190.54,7/16/2010
42,47.97,12/29/2014
422,167.47,1/5/2017
743,24.19,12/16/2012
430,79.43,6/7/2014
355,104.32,1/12/2011
428,136.95,2/22/2011
511,64.91,3/27/2013
816,16.86,11/8/2017
633,8.62,3/8/2012
615,17.05,6/25/2012
509,31.73,4/5/2012
699,156.28,11/24/2015
938,3.58,9/10/2013
882,6.47,11/20/2016
312,48.39,2/25/2010
216,7.76,3/10/2013
814,48.97,7/27/2012
757,117.5,9/26/2011
695,131.27,7/12/2017
918,85.51,9/26/2010
346,84.45,7/2/2015
552,21.88,8/14/2014
643,104.18,4/20/2013
515,29.33,9/12/2014
379,136.94,5/19/2011
549,177.32,11/10/2012
851,20.88,3/6/2010
638,85.81,8/21/2011
565,354.1,7/3/2015
319,26.08,6/28/2011
529,320.47,12/28/2014
291,20.02,2/10/2014
517,94.24,6/12/2017
182,114.65,6/10/2010
952,9.76,10/23/2013
63,9.61,1/5/2014
911,80.2,1/19/2012
446,26.42,3/29/2016
637,21.59,11/30/2011
1000,137.99,6/23/2010
958,317.75,10/29/2011
393,8.07,11/24/2011
362,54.21,7/27/2014
606,27.28,10/9/2014
406,19.15,9/4/2012
512,87.33,8/5/2015
561,48.97,10/15/2016
957,58.68,8/22/2014
190,223.07,6/2/2013
534,108.83,9/5/2016
927,198.26,12/28/2010
411,134.4,3/18/2016
993,255.03,12/1/2010
496,372.19,12/7/2011
274,351.94,12/28/2013
826,95.27,2/21/2012
27,36.82,12/12/2017
856,234.38,10/24/2013
615,150.89,12/13/2012
191,72.28,2/15/2010
139,53.52,11/30/2015
729,242.76,7/11/2011
81,9.76,5/24/2012
818,218.45,9/5/2017
856,50.96,2/5/2016
635,55.97,12/10/2010
827,122.47,9/3/2011
210,80.12,5/17/2014
153,61.28,1/20/2015
103,68.82,6/12/2016
542,174.39,1/27/2017
458,106.55,5/8/2010
51,46.71,7/28/2017
235,56.06,5/12/2015
329,257.73,9/10/2010
138,164.86,11/22/2017
882,376.97,7/8/2014
705,82.68,11/21/2014
545,87.89,11/27/2017
479,104.85,2/15/2015
901,136.34,4/8/2013
643,192.67,10/25/2011
486,94.63,1/17/2017
272,345.71,2/18/2014
83,11.29,11/15/2015
343,256.05,7/14/2010
354,155.43,8/2/2014
442,0.63,10/30/2013
112,79.76,12/25/2012
998,17.67,11/13/2011
129,375.15,4/11/2017
788,173.97,11/7/2010
999,8.34,1/2/2015
342,109.65,3/28/2013
986,359.19,8/13/2012
195,57.38,2/14/2010
576,94.24,10/8/2015
564,128.29,1/17/2011
478,250.07,5/10/2015
849,89.6,6/16/2013
915,427.04,6/15/2011
522,181.59,7/14/2014
917,27.02,11/28/2013
32,252.65,4/21/2014
354,284.48,2/6/2013
103,11.09,10/14/2010
949,175.47,10/22/2011
157,20.04,7/26/2017
906,147.39,6/12/2014
846,239.73,3/11/2014
127,13.42,9/12/2010
946,116.37,10/11/2016
751,207.15,6/6/2017
131,58.38,2/14/2011
521,2.98,5/4/2015
906,48.42,12/4/2016
350,107.32,11/29/2016
305,67.49,4/9/2012
167,81.11,4/22/2010
1000,241.65,2/28/2011
26,300.45,3/25/2013
73,15.54,7/12/2014
640,166.38,11/26/2010
107,294.96,2/19/2011
132,89.43,3/31/2012
970,35.7,4/1/2017
229,419.2,5/24/2012
174,183.75,10/3/2015
672,134.21,10/5/2010
525,148.14,9/22/2015
929,64.7,8/19/2017
288,143.06,4/23/2014
315,42.04,12/7/2010
265,189.36,12/13/2016
635,24.35,4/2/2011
790,122.57,5/14/2015
5,323.63,6/1/2013
841,21.72,4/19/2011
130,83.53,8/22/2010
643,70.34,12/13/2013
370,185.6,8/2/2013
114,57.01,8/6/2016
843,2.72,9/27/2012
478,232.68,3/12/2016
234,13.81,7/8/2013
250,106.55,9/27/2016
891,196.47,1/19/2011
503,13,2/25/2014
555,64.16,9/13/2014
949,47.55,11/19/2016
543,67.52,1/6/2011
174,464.31,1/27/2010
446,223.5,8/24/2010
821,146.31,12/17/2010
916,16.54,1/13/2011
49,6.52,7/24/2014
768,264.89,3/6/2010
889,316.86,6/7/2014
498,7.68,6/23/2013
917,89.51,12/12/2010
520,364.68,5/28/2013
81,158.83,7/20/2017
680,315.23,4/27/2013
566,202.55,7/22/2010
888,301.56,3/16/2015
174,87.69,2/11/2010
7,9.18,5/10/2014
341,89.17,1/13/2015
477,117.79,4/11/2010
285,183.28,12/24/2011
466,17.58,2/15/2011
618,50.31,2/5/2010
378,61.4,11/8/2014
124,46.68,8/4/2010
869,59.64,11/25/2010
1000,153.51,5/26/2013
578,144.04,8/23/2016
776,171.18,11/4/2012
505,2.8,4/25/2016
731,334.62,6/29/2013
989,10.99,10/4/2012
779,357.94,10/19/2013
774,188.03,10/11/2016
311,74.78,2/16/2018
128,400.75,4/22/2013
404,121.17,12/30/2015
208,168.08,3/12/2014
259,129.2,10/22/2011
756,94.67,12/5/2012
104,125.1,1/2/2010
566,77.09,6/30/2015
962,79.79,10/26/2016
290,6.07,8/30/2015
237,235.52,9/7/2017
132,49.37,11/16/2010
229,300.61,11/8/2011
157,11.86,7/28/2017
292,162,3/17/2012
590,183.48,5/31/2017
934,101.29,4/22/2017
353,173.37,1/13/2011
517,65.9,4/22/2013
272,52.44,1/2/2012
148,63.11,10/26/2017
265,68.47,12/23/2013
520,82.56,9/6/2011
273,18.04,7/14/2012
476,236.8,9/14/2010
329,182.06,10/20/2016
415,75.67,11/27/2015
175,270.84,10/3/2015
891,17.58,6/23/2012
356,38.44,1/28/2012
968,148.59,11/2/2013
628,71.59,3/1/2018
485,0.79,4/1/2014
957,191.04,9/2/2012
23,137.91,5/29/2015
994,85.46,8/30/2017
806,45.92,1/22/2013
250,110.65,2/25/2013
326,17.09,9/12/2017
722,86.88,2/4/2018
785,56.1,10/10/2016
408,73.56,1/26/2011
949,215.15,7/13/2011
435,255.97,1/6/2014
587,68.98,2/25/2014
204,31.7,10/27/2013
970,80.13,8/10/2011
619,25.68,8/3/2012
2,348.43,1/25/2010
545,32.7,4/25/2016
270,77.31,2/14/2018
553,6.13,12/26/2015
791,140.94,9/2/2011
786,22.02,6/12/2015
304,382.99,5/16/2015
232,20.2,3/30/2014
182,309.37,6/1/2017
61,197.64,10/23/2016
761,75.95,4/19/2011
735,269.34,1/22/2016
688,301.42,1/19/2012
623,22.63,2/29/2016
388,322.94,9/24/2013
626,299.99,10/29/2013
480,85.08,9/16/2016
502,277.37,1/24/2013
245,50.94,7/22/2013
214,27.51,5/12/2013
610,194.62,11/25/2010
500,265.57,11/2/2017
748,294.57,9/23/2011
356,42.91,1/15/2015
120,262.85,2/17/2014
359,110.19,10/12/2010
142,0.92,1/1/2017
650,202.09,10/8/2014
401,427.44,3/26/2012
686,110.22,3/30/2016
458,83.72,12/21/2012
231,127.83,7/21/2010
423,73.27,5/4/2015
235,273.55,7/10/2010
961,322.43,4/26/2017
637,133.32,2/12/2016
419,187.98,11/15/2012
947,17.86,12/26/2011
984,197.86,12/28/2013
90,390.96,1/8/2010
189,165.59,3/2/2011
206,254.23,9/12/2012
694,138.66,2/1/2016
967,33.53,7/9/2015
209,76.6,8/7/2011
611,379.81,12/14/2014
640,12.2,7/31/2012
615,265.54,11/24/2010
169,80.04,10/22/2017
267,188.39,11/29/2017
720,53.37,9/26/2015
897,171.07,4/16/2011
859,229.37,7/8/2011
378,361.85,12/8/2011
579,103.18,3/25/2014
882,136.41,11/14/2016
412,270.02,7/27/2013
96,4.74,10/23/2014
963,106.81,11/26/2014
859,100.58,5/23/2014
314,36.07,5/8/2015
767,106.98,6/11/2017
831,118.83,10/11/2013
608,302.81,4/19/2016
146,8.36,3/19/2012
193,231.37,7/20/2013
46,2.55,4/21/2013
382,177.58,5/22/2013
895,22.5,11/30/2014
77,10.93,3/29/2015
58,82.2,12/4/2014
758,34.16,6/15/2010
652,25.93,7/13/2013
263,41.89,2/15/2016
272,220.48,3/10/2010
903,104.27,12/24/2015
227,143.83,10/5/2015
819,206.99,7/1/2017
341,33.64,4/18/2011
362,11.92,7/3/2017
47,48.4,9/15/2010
747,43.79,6/20/2010
477,112.5,5/25/2012
175,28.23,2/13/2011
14,206.83,9/10/2012
290,94.54,7/12/2011
351,297.87,1/19/2012
505,7.7,12/30/2011
544,263.97,7/16/2014
591,90.47,9/29/2015
95,54.28,7/21/2015
43,83.29,1/4/2013
232,36.8,8/1/2010
835,7.29,7/22/2012
741,11.6,8/2/2017
862,86.29,11/5/2013
448,20.26,2/3/2014
848,55.19,6/9/2013
732,155.99,4/27/2011
371,58.9,6/12/2016
116,36.76,4/2/2017
269,67.81,2/10/2010
230,3.16,9/22/2014
881,16.6,3/13/2016
280,140.65,11/18/2016
599,427.63,9/21/2011
974,102.6,11/14/2012
772,187.28,7/22/2017
292,98.47,2/14/2014
398,35.34,1/12/2010
504,105.52,11/2/2017
142,94.89,3/5/2011
335,261.87,9/16/2013
29,2.46,8/23/2015
445,10.43,5/26/2015
130,118.41,7/27/2014
291,299.17,11/12/2012
985,8.68,12/14/2013
360,192.14,4/1/2012
348,98.65,11/9/2011
845,171.64,10/13/2014
354,101.04,6/13/2012
284,386.08,6/9/2011
541,15.79,3/5/2014
92,193.85,1/28/2015
579,54.03,11/25/2017
654,11.37,9/17/2010
832,421.3,6/19/2014
723,4.53,9/17/2013
83,132.18,2/10/2017
489,178.63,8/25/2012
186,45.6,11/22/2016
474,261.52,8/24/2016
94,120.68,8/20/2014
990,231.66,4/4/2013
165,320.33,12/14/2015
393,236.04,7/30/2016
690,337.17,2/28/2010
257,283.81,1/17/2018
222,62.4,3/24/2016
137,89.51,2/25/2017
943,31.65,6/12/2014
971,370.19,2/8/2010
687,108.98,7/25/2014
140,148.49,12/27/2015
62,161.63,6/19/2014
665,213.02,1/6/2016
291,30.55,5/11/2015
795,5.94,3/30/2015
933,135.93,2/25/2017
32,57.89,2/26/2011
204,4.07,11/27/2010
335,7.61,3/25/2014
204,199.21,10/26/2016
373,44.62,4/20/2011
714,29.96,7/23/2010
296,60.87,2/16/2018
846,362.58,7/24/2011
233,70.91,4/16/2010
679,200.98,3/11/2011
364,185.17,2/19/2011
595,259.85,6/29/2016
913,344.76,3/23/2016
813,76.79,3/5/2012
734,70.85,11/28/2013
558,87.33,10/8/2013
477,66.07,8/6/2013
873,17.96,2/2/2017
261,65.7,5/6/2012
648,162.14,1/16/2016
943,17.41,5/5/2012
895,32.93,2/2/2013
570,156.17,1/15/2011
127,174.17,7/1/2013
274,23.54,11/26/2012
710,153.02,1/19/2016
318,64.96,4/24/2013
155,370.68,10/29/2014
995,159.6,11/13/2012
135,19.5,3/12/2014
825,2.65,3/21/2017
973,40,8/13/2017
282,80.55,1/15/2011
57,276.92,5/25/2014
792,351.72,8/14/2012
126,211.76,10/7/2010
565,119.91,12/13/2013
6,0.2,11/5/2016
486,86.06,11/10/2010
561,29.31,6/20/2012
553,164.11,11/30/2016
848,167.11,8/7/2016
291,64.5,10/28/2015
808,218.33,6/27/2011
955,20.09,7/9/2016
962,23.15,12/29/2015
806,269.57,11/16/2017
444,95.27,8/15/2014
594,140.43,11/10/2012
772,44.95,5/3/2012
307,95.91,5/2/2015
32,120.59,3/19/2010
96,180.07,4/15/2011
171,18.55,1/12/2010
689,9.55,6/18/2011
981,65.25,12/20/2016
840,394.01,11/20/2013
110,185.62,7/10/2013
705,10.18,5/27/2017
743,17.02,11/30/2010
203,3.15,7/29/2010
602,391.95,1/29/2015
152,130.59,7/5/2017
667,162.83,9/3/2017
853,245.14,6/14/2016
116,47.98,11/12/2013
742,51.41,6/17/2015
938,4.49,12/17/2014
113,212.88,2/17/2010
36,128.54,7/17/2016
864,75.19,6/5/2015
420,103.56,9/19/2014
972,102.23,6/18/2013
776,215.75,8/13/2014
428,103.86,2/16/2017
519,256.75,8/29/2017
799,280.33,4/11/2014
933,184.18,9/12/2015
265,34.6,6/6/2017
827,34.4,9/23/2016
995,34.09,7/11/2016
512,38.74,12/21/2013
497,125.15,7/14/2012
642,101.46,10/13/2016
175,94.9,6/28/2015
670,128.26,11/12/2015
738,23.78,12/6/2015
518,16.19,8/18/2012
606,246.03,4/18/2012
458,33.49,5/30/2016
150,80.16,5/9/2012
652,101.56,11/18/2013
380,64.78,1/7/2017
115,10.99,11/11/2012
297,43.29,3/22/2013
477,120.22,8/26/2010
141,208.78,5/1/2014
78,254.3,3/27/2016
842,16.5,2/6/2014
545,40.67,1/13/2012
573,295.97,6/3/2013
734,112.5,9/24/2017
555,76.37,11/5/2015
224,261.12,2/11/2016
594,124.49,7/15/2011
967,10,12/3/2014
242,64.26,12/2/2016
651,140.39,3/7/2015
175,109.33,4/6/2010
296,20.63,5/18/2017
947,145.6,3/28/2015
603,55.25,11/1/2010
799,14.07,5/21/2011
576,474.37,4/6/2010
805,241.99,4/10/2017
971,358.48,7/31/2013
124,467.47,9/17/2017
422,23.71,7/30/2011
411,10.58,2/15/2014
837,357.72,8/23/2013
653,81.52,5/9/2012
47,142.26,4/7/2015
114,50.18,6/1/2011
63,227.04,6/24/2015
396,25.67,8/28/2012
879,18.33,2/28/2013
236,287.88,12/19/2016
422,25.94,10/30/2017
500,77.71,7/5/2012
28,108.3,9/18/2011
944,20.93,8/11/2013
600,6.88,3/3/2016
624,436.25,8/5/2012
939,43.17,9/15/2014
147,195.28,12/17/2010
246,234.46,2/1/2015
738,237.54,10/28/2010
107,102.22,6/20/2015
910,242.59,2/18/2017
341,171.43,11/20/2016
225,280.06,2/9/2011
125,148.06,8/14/2014
505,52.51,2/12/2012
540,252.43,7/22/2015
590,38.74,5/11/2013
652,86.84,7/29/2015
393,17.7,10/14/2010
822,102.45,3/15/2010
142,77.52,7/18/2015
916,274.12,10/5/2012
889,63.03,7/8/2010
688,190.31,9/30/2013
301,93.3,1/2/2014
675,288.31,5/21/2010
94,14.55,3/30/2016
543,137.5,10/27/2017
142,38.69,8/31/2016
588,251.75,1/5/2018
591,266.28,10/15/2016
212,200.35,2/6/2018
927,23.2,5/6/2012
919,133.85,12/3/2011
228,316.93,11/16/2010
556,30.85,10/21/2015
245,231.75,7/17/2015
420,78.16,12/29/2017
902,141.97,4/5/2014
640,33.2,5/30/2012
330,133.08,6/22/2015
575,6.02,3/13/2013
549,18.18,9/1/2017
324,2.27,3/7/2012
459,488.82,4/9/2013
773,28.77,3/1/2015
196,343.25,8/2/2015
345,5.91,10/23/2013
40,106.68,5/23/2012
183,6.32,1/10/2011
119,151.38,1/31/2012
249,17.92,4/12/2017
57,15.41,2/16/2018
686,16.99,11/9/2014
957,188.73,2/4/2010
363,42.01,10/12/2017
435,365.13,4/7/2017
846,122.72,10/30/2011
107,213.71,11/30/2017
740,301.72,9/19/2017
482,249.28,5/10/2013
419,18.14,1/28/2015
